,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,Symbol,Name,Stock Sector,Industry Name,Market Cap (m),Dividend Yield (%),Last (Close),Unnamed: 7
7714,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,QH,Quality Houses PCL,Real Estate,Real Estate - Diversified,27214.529,8.27,2.54,THB
7715,Last Price(Baht),2.58,3.24,2.62,2.56,2.00,QH,Quality Houses PCL,Real Estate,Real Estate - Diversified,27214.529,8.27,2.54,THB
7716,Market Cap.,27643.10,34714.60,28071.68,27428.82,21428.76,QH,Quality Houses PCL,Real Estate,Real Estate - Diversified,27214.529,8.27,2.54,THB
7717,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,QH,Quality Houses PCL,Real Estate,Real Estate - Diversified,27214.529,8.27,2.54,THB
7718,P/E,7.45,10.73,7.16,9.25,7.51,QH,Quality Houses PCL,Real Estate,Real Estate - Diversified,27214.529,8.27,2.54,THB
7719,P/BV,1.24,1.45,1.10,1.04,0.80,QH,Quality Houses PCL,Real Estate,Real Estate - Diversified,27214.529,8.27,2.54,THB
7720,Book Value per share (Baht),2.08,2.23,2.39,2.47,2.51,QH,Quality Houses PCL,Real Estate,Real Estate - Diversified,27214.529,8.27,2.54,THB
7721,Dvd. Yield(%),5.43,4.63,7.63,8.59,10.00,QH,Quality Houses PCL,Real Estate,Real Estate - Diversified,27214.529,8.27,2.54,THB
7722,Assets,,,,4412.31,,RBF,R&B Food Supply PCL Ordinary Shares,Consumer Defensive,Packaged Foods,8600.0,-,4.3,THB
7723,Liabilities,,,,542.44,,RBF,R&B Food Supply PCL Ordinary Shares,Consumer Defensive,Packaged Foods,8600.0,-,4.3,THB
7724,Equity,,,,3870.27,,RBF,R&B Food Supply PCL Ordinary Shares,Consumer Defensive,Packaged Foods,8600.0,-,4.3,THB
7725,Paid-up Capital,,,,2000.00,,RBF,R&B Food Supply PCL Ordinary Shares,Consumer Defensive,Packaged Foods,8600.0,-,4.3,THB
7726,Revenue,,,,2881.99,,RBF,R&B Food Supply PCL Ordinary Shares,Consumer Defensive,Packaged Foods,8600.0,-,4.3,THB
7727,Net Profit,,,,352.78,,RBF,R&B Food Supply PCL Ordinary Shares,Consumer Defensive,Packaged Foods,8600.0,-,4.3,THB
7728,EPS (Baht),,,,0.22,,RBF,R&B Food Supply PCL Ordinary Shares,Consumer Defensive,Packaged Foods,8600.0,-,4.3,THB
7729,ROA(%),,,,11.93,,RBF,R&B Food Supply PCL Ordinary Shares,Consumer Defensive,Packaged Foods,8600.0,-,4.3,THB
7730,ROE(%),,,,11.83,,RBF,R&B Food Supply PCL Ordinary Shares,Consumer Defensive,Packaged Foods,8600.0,-,4.3,THB
7731,Net Profit Margin(%),,,,12.24,,RBF,R&B Food Supply PCL Ordinary Shares,Consumer Defensive,Packaged Foods,8600.0,-,4.3,THB
7732,Statistics as of,,,,30/12/2019,12/05/2020,RBF,R&B Food Supply PCL Ordinary Shares,Consumer Defensive,Packaged Foods,8600.0,-,4.3,THB
7733,Last Price(Baht),,,,4.40,5.00,RBF,R&B Food Supply PCL Ordinary Shares,Consumer Defensive,Packaged Foods,8600.0,-,4.3,THB
7734,Market Cap.,,,,8800.00,10000.00,RBF,R&B Food Supply PCL Ordinary Shares,Consumer Defensive,Packaged Foods,8600.0,-,4.3,THB
7735,F/S Period (As of date),,,,,31/12/2019,RBF,R&B Food Supply PCL Ordinary Shares,Consumer Defensive,Packaged Foods,8600.0,-,4.3,THB
7736,P/E,,,,25.48,28.35,RBF,R&B Food Supply PCL Ordinary Shares,Consumer Defensive,Packaged Foods,8600.0,-,4.3,THB
7737,P/BV,,,,-,2.58,RBF,R&B Food Supply PCL Ordinary Shares,Consumer Defensive,Packaged Foods,8600.0,-,4.3,THB
7738,Book Value per share (Baht),,,,N.A.,1.94,RBF,R&B Food Supply PCL Ordinary Shares,Consumer Defensive,Packaged Foods,8600.0,-,4.3,THB
7739,Dvd. Yield(%),,,,,3.00,RBF,R&B Food Supply PCL Ordinary Shares,Consumer Defensive,Packaged Foods,8600.0,-,4.3,THB
7740,Assets,9700.13,10457.98,14329.74,12904.69,,RML,Raimon Land PCL,Real Estate,Real Estate - Development,4214.209,1.49,1.01,THB
7741,Liabilities,4592.24,5391.26,8607.87,7174.93,,RML,Raimon Land PCL,Real Estate,Real Estate - Development,4214.209,1.49,1.01,THB
7742,Equity,5105.38,5049.48,5716.66,5732.25,,RML,Raimon Land PCL,Real Estate,Real Estate - Development,4214.209,1.49,1.01,THB
7743,Paid-up Capital,3575.48,3575.48,4172.48,4172.48,,RML,Raimon Land PCL,Real Estate,Real Estate - Development,4214.209,1.49,1.01,THB
7744,Revenue,5206.43,3015.90,3326.86,3624.23,,RML,Raimon Land PCL,Real Estate,Real Estate - Development,4214.209,1.49,1.01,THB
7745,Net Profit,850.65,192.92,8.60,79.31,,RML,Raimon Land PCL,Real Estate,Real Estate - Development,4214.209,1.49,1.01,THB
7746,EPS (Baht),0.24,0.05,-,0.02,,RML,Raimon Land PCL,Real Estate,Real Estate - Development,4214.209,1.49,1.01,THB
7747,ROA(%),11.90,3.25,1.63,2.82,,RML,Raimon Land PCL,Real Estate,Real Estate - Development,4214.209,1.49,1.01,THB
7748,ROE(%),17.81,3.80,0.16,1.39,,RML,Raimon Land PCL,Real Estate,Real Estate - Development,4214.209,1.49,1.01,THB
7749,Net Profit Margin(%),16.34,6.40,0.26,2.19,,RML,Raimon Land PCL,Real Estate,Real Estate - Development,4214.209,1.49,1.01,THB
7750,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,RML,Raimon Land PCL,Real Estate,Real Estate - Development,4214.209,1.49,1.01,THB
7751,Last Price(Baht),1.40,0.96,1.11,1.02,0.49,RML,Raimon Land PCL,Real Estate,Real Estate - Development,4214.209,1.49,1.01,THB
7752,Market Cap.,5005.68,3432.46,4631.46,4255.93,2044.52,RML,Raimon Land PCL,Real Estate,Real Estate - Development,4214.209,1.49,1.01,THB
7753,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,RML,Raimon Land PCL,Real Estate,Real Estate - Development,4214.209,1.49,1.01,THB
7754,P/E,5.43,9.89,,13.64,25.78,RML,Raimon Land PCL,Real Estate,Real Estate - Development,4214.209,1.49,1.01,THB
7755,P/BV,1.01,0.68,0.96,0.73,0.36,RML,Raimon Land PCL,Real Estate,Real Estate - Development,4214.209,1.49,1.01,THB
7756,Book Value per share (Baht),1.39,1.42,1.35,1.40,1.37,RML,Raimon Land PCL,Real Estate,Real Estate - Development,4214.209,1.49,1.01,THB
7757,Dvd. Yield(%),3.93,7.29,2.42,1.47,3.06,RML,Raimon Land PCL,Real Estate,Real Estate - Development,4214.209,1.49,1.01,THB
7758,Assets,1044.30,1072.64,1184.16,1204.57,,RP,Raja Ferry Port PCL,Industrials,Marine Shipping,284.962,3.5,1.49,THB
7759,Liabilities,162.89,212.19,296.88,320.75,,RP,Raja Ferry Port PCL,Industrials,Marine Shipping,284.962,3.5,1.49,THB
7760,Equity,881.40,860.46,887.27,883.82,,RP,Raja Ferry Port PCL,Industrials,Marine Shipping,284.962,3.5,1.49,THB
7761,Paid-up Capital,170.00,170.00,191.25,191.25,,RP,Raja Ferry Port PCL,Industrials,Marine Shipping,284.962,3.5,1.49,THB
7762,Revenue,692.52,701.13,750.43,722.05,,RP,Raja Ferry Port PCL,Industrials,Marine Shipping,284.962,3.5,1.49,THB
7763,Net Profit,67.47,32.29,22.04,7.29,,RP,Raja Ferry Port PCL,Industrials,Marine Shipping,284.962,3.5,1.49,THB
7764,EPS (Baht),0.40,0.19,0.12,0.04,,RP,Raja Ferry Port PCL,Industrials,Marine Shipping,284.962,3.5,1.49,THB
7765,ROA(%),7.22,3.94,2.91,1.72,,RP,Raja Ferry Port PCL,Industrials,Marine Shipping,284.962,3.5,1.49,THB
7766,ROE(%),7.35,3.71,2.52,0.82,,RP,Raja Ferry Port PCL,Industrials,Marine Shipping,284.962,3.5,1.49,THB
7767,Net Profit Margin(%),9.74,4.61,2.94,1.01,,RP,Raja Ferry Port PCL,Industrials,Marine Shipping,284.962,3.5,1.49,THB
7768,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,RP,Raja Ferry Port PCL,Industrials,Marine Shipping,284.962,3.5,1.49,THB
7769,Last Price(Baht),7.90,4.96,2.40,1.51,1.06,RP,Raja Ferry Port PCL,Industrials,Marine Shipping,284.962,3.5,1.49,THB
7770,Market Cap.,1343.00,843.20,459.00,288.79,202.72,RP,Raja Ferry Port PCL,Industrials,Marine Shipping,284.962,3.5,1.49,THB
7771,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,RP,Raja Ferry Port PCL,Industrials,Marine Shipping,284.962,3.5,1.49,THB
7772,P/E,17.05,28.06,20.13,19.03,27.80,RP,Raja Ferry Port PCL,Industrials,Marine Shipping,284.962,3.5,1.49,THB
7773,P/BV,1.52,0.98,0.52,0.32,0.23,RP,Raja Ferry Port PCL,Industrials,Marine Shipping,284.962,3.5,1.49,THB
7774,Book Value per share (Baht),5.20,5.08,4.61,4.67,4.62,RP,Raja Ferry Port PCL,Industrials,Marine Shipping,284.962,3.5,1.49,THB
7775,Dvd. Yield(%),10.38,6.05,0.51,3.46,0.53,RP,Raja Ferry Port PCL,Industrials,Marine Shipping,284.962,3.5,1.49,THB
7776,Assets,1823.65,1901.25,1879.48,1685.41,1781.47,RJH,Rajthanee Hospital PCL,Healthcare,Medical Care Facilities,7500.0,4,25,THB
7777,Liabilities,282.61,234.86,570.43,285.60,298.76,RJH,Rajthanee Hospital PCL,Healthcare,Medical Care Facilities,7500.0,4,25,THB
7778,Equity,1490.24,1590.99,1305.72,1395.82,1478.58,RJH,Rajthanee Hospital PCL,Healthcare,Medical Care Facilities,7500.0,4,25,THB
7779,Paid-up Capital,300.00,300.00,300.00,300.00,300.00,RJH,Rajthanee Hospital PCL,Healthcare,Medical Care Facilities,7500.0,4,25,THB
7780,Revenue,1224.00,1424.24,1611.05,1901.82,453.51,RJH,Rajthanee Hospital PCL,Healthcare,Medical Care Facilities,7500.0,4,25,THB
7781,Net Profit,154.64,231.24,254.54,395.89,82.77,RJH,Rajthanee Hospital PCL,Healthcare,Medical Care Facilities,7500.0,4,25,THB
7782,EPS (Baht),0.62,0.77,0.85,1.32,0.28,RJH,Rajthanee Hospital PCL,Healthcare,Medical Care Facilities,7500.0,4,25,THB
7783,ROA(%),14.49,15.32,17.28,28.06,20.89,RJH,Rajthanee Hospital PCL,Healthcare,Medical Care Facilities,7500.0,4,25,THB
7784,ROE(%),17.57,15.01,17.57,29.31,20.42,RJH,Rajthanee Hospital PCL,Healthcare,Medical Care Facilities,7500.0,4,25,THB
7785,Net Profit Margin(%),12.63,16.24,15.80,20.82,18.25,RJH,Rajthanee Hospital PCL,Healthcare,Medical Care Facilities,7500.0,4,25,THB
7786,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,RJH,Rajthanee Hospital PCL,Healthcare,Medical Care Facilities,7500.0,4,25,THB
7787,Last Price(Baht),25.50,25.00,18.60,25.25,22.50,RJH,Rajthanee Hospital PCL,Healthcare,Medical Care Facilities,7500.0,4,25,THB
7788,Market Cap.,7650.00,7500.00,5580.00,7575.00,6750.00,RJH,Rajthanee Hospital PCL,Healthcare,Medical Care Facilities,7500.0,4,25,THB
7789,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,RJH,Rajthanee Hospital PCL,Healthcare,Medical Care Facilities,7500.0,4,25,THB
7790,P/E,53.33,35.52,23.19,19.72,22.33*,RJH,Rajthanee Hospital PCL,Healthcare,Medical Care Facilities,7500.0,4,25,THB
7791,P/BV,5.02,4.85,4.51,5.74,4.84,RJH,Rajthanee Hospital PCL,Healthcare,Medical Care Facilities,7500.0,4,25,THB
7792,Book Value per share (Baht),5.08,5.15,4.12,4.40,4.65,RJH,Rajthanee Hospital PCL,Healthcare,Medical Care Facilities,7500.0,4,25,THB
7793,Dvd. Yield(%),,1.60,2.96,2.77,4.89,RJH,Rajthanee Hospital PCL,Healthcare,Medical Care Facilities,7500.0,4,25,THB
7794,Assets,14531.49,16477.58,15231.32,18465.39,,RAM,Ramkhamhaeng Hospital PCL,Healthcare,Medical Care Facilities,36480.0,3.16,152,THB
7795,Liabilities,4427.88,4798.13,2157.97,5318.90,,RAM,Ramkhamhaeng Hospital PCL,Healthcare,Medical Care Facilities,36480.0,3.16,152,THB
7796,Equity,9616.73,11122.99,12087.65,12619.26,,RAM,Ramkhamhaeng Hospital PCL,Healthcare,Medical Care Facilities,36480.0,3.16,152,THB
7797,Paid-up Capital,120.00,120.00,120.00,120.00,,RAM,Ramkhamhaeng Hospital PCL,Healthcare,Medical Care Facilities,36480.0,3.16,152,THB
7798,Revenue,4411.44,4628.82,6044.48,5500.49,,RAM,Ramkhamhaeng Hospital PCL,Healthcare,Medical Care Facilities,36480.0,3.16,152,THB
7799,Net Profit,1137.92,1327.46,1896.23,1440.35,,RAM,Ramkhamhaeng Hospital PCL,Healthcare,Medical Care Facilities,36480.0,3.16,152,THB
7800,EPS (Baht),94.83,110.62,158.02,6.00,,RAM,Ramkhamhaeng Hospital PCL,Healthcare,Medical Care Facilities,36480.0,3.16,152,THB
7801,ROA(%),10.63,10.01,16.93,9.31,,RAM,Ramkhamhaeng Hospital PCL,Healthcare,Medical Care Facilities,36480.0,3.16,152,THB
7802,ROE(%),13.36,12.80,16.34,11.66,,RAM,Ramkhamhaeng Hospital PCL,Healthcare,Medical Care Facilities,36480.0,3.16,152,THB
7803,Net Profit Margin(%),25.79,28.68,31.37,26.19,,RAM,Ramkhamhaeng Hospital PCL,Healthcare,Medical Care Facilities,36480.0,3.16,152,THB
7804,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,RAM,Ramkhamhaeng Hospital PCL,Healthcare,Medical Care Facilities,36480.0,3.16,152,THB
7805,Last Price(Baht),3500.00,2970.00,2660.00,152.00,140.00,RAM,Ramkhamhaeng Hospital PCL,Healthcare,Medical Care Facilities,36480.0,3.16,152,THB
7806,Market Cap.,42000.00,35640.00,31920.00,36480.00,33600.00,RAM,Ramkhamhaeng Hospital PCL,Healthcare,Medical Care Facilities,36480.0,3.16,152,THB
7807,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,RAM,Ramkhamhaeng Hospital PCL,Healthcare,Medical Care Facilities,36480.0,3.16,152,THB
7808,P/E,36.56,26.90,20.35,19.06,23.33,RAM,Ramkhamhaeng Hospital PCL,Healthcare,Medical Care Facilities,36480.0,3.16,152,THB
7809,P/BV,4.62,3.27,2.60,2.86,2.66,RAM,Ramkhamhaeng Hospital PCL,Healthcare,Medical Care Facilities,36480.0,3.16,152,THB
7810,Book Value per share (Baht),758.37,907.04,1024.11,53.09,52.58,RAM,Ramkhamhaeng Hospital PCL,Healthcare,Medical Care Facilities,36480.0,3.16,152,THB
7811,Dvd. Yield(%),0.34,0.54,0.60,2.24,2.57,RAM,Ramkhamhaeng Hospital PCL,Healthcare,Medical Care Facilities,36480.0,3.16,152,THB
7812,Assets,96391.09,94224.83,101251.90,100229.43,,RATCH,Ratch Group PCL,Utilities,Utilities - Regulated Electric,100775.0,3.45,69.5,THB
7813,Liabilities,33938.32,30943.65,41315.89,40815.50,,RATCH,Ratch Group PCL,Utilities,Utilities - Regulated Electric,100775.0,3.45,69.5,THB
7814,Equity,62321.47,63265.29,59936.02,59413.27,,RATCH,Ratch Group PCL,Utilities,Utilities - Regulated Electric,100775.0,3.45,69.5,THB
7815,Paid-up Capital,14500.00,14500.00,14500.00,14500.00,,RATCH,Ratch Group PCL,Utilities,Utilities - Regulated Electric,100775.0,3.45,69.5,THB
7816,Revenue,51437.55,46890.80,45083.54,43220.08,,RATCH,Ratch Group PCL,Utilities,Utilities - Regulated Electric,100775.0,3.45,69.5,THB
7817,Net Profit,6165.72,6106.70,5587.60,5963.28,,RATCH,Ratch Group PCL,Utilities,Utilities - Regulated Electric,100775.0,3.45,69.5,THB
7818,EPS (Baht),4.25,4.21,3.85,4.11,,RATCH,Ratch Group PCL,Utilities,Utilities - Regulated Electric,100775.0,3.45,69.5,THB
7819,ROA(%),8.82,8.77,7.63,8.20,,RATCH,Ratch Group PCL,Utilities,Utilities - Regulated Electric,100775.0,3.45,69.5,THB
7820,ROE(%),10.07,9.73,9.07,9.99,,RATCH,Ratch Group PCL,Utilities,Utilities - Regulated Electric,100775.0,3.45,69.5,THB
7821,Net Profit Margin(%),11.99,13.02,12.39,13.80,,RATCH,Ratch Group PCL,Utilities,Utilities - Regulated Electric,100775.0,3.45,69.5,THB
7822,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,RATCH,Ratch Group PCL,Utilities,Utilities - Regulated Electric,100775.0,3.45,69.5,THB
7823,Last Price(Baht),50.00,54.25,50.75,68.75,66.00,RATCH,Ratch Group PCL,Utilities,Utilities - Regulated Electric,100775.0,3.45,69.5,THB
7824,Market Cap.,72500.00,78662.50,73587.50,99687.50,95700.00,RATCH,Ratch Group PCL,Utilities,Utilities - Regulated Electric,100775.0,3.45,69.5,THB
7825,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,RATCH,Ratch Group PCL,Utilities,Utilities - Regulated Electric,100775.0,3.45,69.5,THB
7826,P/E,17.92,9.38,13.08,17.47,16.05,RATCH,Ratch Group PCL,Utilities,Utilities - Regulated Electric,100775.0,3.45,69.5,THB
7827,P/BV,1.21,1.25,1.23,1.70,1.61,RATCH,Ratch Group PCL,Utilities,Utilities - Regulated Electric,100775.0,3.45,69.5,THB
7828,Book Value per share (Baht),41.34,43.53,41.23,40.40,40.97,RATCH,Ratch Group PCL,Utilities,Utilities - Regulated Electric,100775.0,3.45,69.5,THB
7829,Dvd. Yield(%),4.54,4.33,4.73,3.49,3.64,RATCH,Ratch Group PCL,Utilities,Utilities - Regulated Electric,100775.0,3.45,69.5,THB
7830,Assets,,1689.34,1816.96,1751.26,1751.19,RPH,Ratchaphruek Hospital PCL,Healthcare,Medical Care Facilities,3576.3,1.51,6.55,THB
7831,Liabilities,,400.15,539.07,433.77,403.88,RPH,Ratchaphruek Hospital PCL,Healthcare,Medical Care Facilities,3576.3,1.51,6.55,THB
7832,Equity,,1289.19,1277.90,1317.48,1347.31,RPH,Ratchaphruek Hospital PCL,Healthcare,Medical Care Facilities,3576.3,1.51,6.55,THB
7833,Paid-up Capital,,546.00,546.00,546.00,546.00,RPH,Ratchaphruek Hospital PCL,Healthcare,Medical Care Facilities,3576.3,1.51,6.55,THB
7834,Revenue,,424.42,542.57,830.26,219.25,RPH,Ratchaphruek Hospital PCL,Healthcare,Medical Care Facilities,3576.3,1.51,6.55,THB
7835,Net Profit,,63.04,48.43,96.41,29.82,RPH,Ratchaphruek Hospital PCL,Healthcare,Medical Care Facilities,3576.3,1.51,6.55,THB
7836,EPS (Baht),,0.12,0.09,0.18,0.05,RPH,Ratchaphruek Hospital PCL,Healthcare,Medical Care Facilities,3576.3,1.51,6.55,THB
7837,ROA(%),,6.66,3.68,7.30,7.25,RPH,Ratchaphruek Hospital PCL,Healthcare,Medical Care Facilities,3576.3,1.51,6.55,THB
7838,ROE(%),,6.99,3.77,7.43,7.20,RPH,Ratchaphruek Hospital PCL,Healthcare,Medical Care Facilities,3576.3,1.51,6.55,THB
7839,Net Profit Margin(%),,14.85,8.93,11.61,13.60,RPH,Ratchaphruek Hospital PCL,Healthcare,Medical Care Facilities,3576.3,1.51,6.55,THB
7840,Statistics as of,,29/12/2017,28/12/2018,30/12/2019,12/05/2020,RPH,Ratchaphruek Hospital PCL,Healthcare,Medical Care Facilities,3576.3,1.51,6.55,THB
7841,Last Price(Baht),,4.76,4.84,6.55,5.25,RPH,Ratchaphruek Hospital PCL,Healthcare,Medical Care Facilities,3576.3,1.51,6.55,THB
7842,Market Cap.,,2598.96,2642.64,3576.30,2866.50,RPH,Ratchaphruek Hospital PCL,Healthcare,Medical Care Facilities,3576.3,1.51,6.55,THB
7843,F/S Period (As of date),,30/09/2017,30/09/2018,30/09/2019,31/12/2019,RPH,Ratchaphruek Hospital PCL,Healthcare,Medical Care Facilities,3576.3,1.51,6.55,THB
7844,P/E,,40.54,42.59,46.02,30.00*,RPH,Ratchaphruek Hospital PCL,Healthcare,Medical Care Facilities,3576.3,1.51,6.55,THB
7845,P/BV,,2.00,2.07,2.75,2.18,RPH,Ratchaphruek Hospital PCL,Healthcare,Medical Care Facilities,3576.3,1.51,6.55,THB
7846,Book Value per share (Baht),,2.38,2.33,2.38,2.41,RPH,Ratchaphruek Hospital PCL,Healthcare,Medical Care Facilities,3576.3,1.51,6.55,THB
7847,Dvd. Yield(%),,1.01,2.17,1.29,2.67,RPH,Ratchaphruek Hospital PCL,Healthcare,Medical Care Facilities,3576.3,1.51,6.55,THB
7848,Assets,33364.87,39491.79,47531.06,50880.93,,THANI,Ratchathani Leasing PCL,Financial Services,Credit Services,21708.282,6.82,5.75,THB
7849,Liabilities,28355.48,33864.50,40336.10,43209.91,,THANI,Ratchathani Leasing PCL,Financial Services,Credit Services,21708.282,6.82,5.75,THB
7850,Equity,5009.39,5627.30,7194.96,7671.02,,THANI,Ratchathani Leasing PCL,Financial Services,Credit Services,21708.282,6.82,5.75,THB
7851,Paid-up Capital,2416.23,2416.23,3020.28,3775.35,,THANI,Ratchathani Leasing PCL,Financial Services,Credit Services,21708.282,6.82,5.75,THB
7852,Revenue,2985.19,3307.24,3827.37,4238.15,,THANI,Ratchathani Leasing PCL,Financial Services,Credit Services,21708.282,6.82,5.75,THB
7853,Net Profit,881.16,1125.81,1640.71,1963.56,,THANI,Ratchathani Leasing PCL,Financial Services,Credit Services,21708.282,6.82,5.75,THB
7854,EPS (Baht),0.36,0.47,0.54,0.52,,THANI,Ratchathani Leasing PCL,Financial Services,Credit Services,21708.282,6.82,5.75,THB
7855,ROA(%),3.51,3.86,4.71,5.01,,THANI,Ratchathani Leasing PCL,Financial Services,Credit Services,21708.282,6.82,5.75,THB
7856,ROE(%),18.41,21.17,25.59,26.42,,THANI,Ratchathani Leasing PCL,Financial Services,Credit Services,21708.282,6.82,5.75,THB
7857,Net Profit Margin(%),29.52,34.04,42.87,46.33,,THANI,Ratchathani Leasing PCL,Financial Services,Credit Services,21708.282,6.82,5.75,THB
7858,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,THANI,Ratchathani Leasing PCL,Financial Services,Credit Services,21708.282,6.82,5.75,THB
7859,Last Price(Baht),5.25,10.80,7.45,5.80,3.76,THANI,Ratchathani Leasing PCL,Financial Services,Credit Services,21708.282,6.82,5.75,THB
7860,Market Cap.,12685.19,26095.25,22501.11,21897.05,14195.33,THANI,Ratchathani Leasing PCL,Financial Services,Credit Services,21708.282,6.82,5.75,THB
7861,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,THANI,Ratchathani Leasing PCL,Financial Services,Credit Services,21708.282,6.82,5.75,THB
7862,P/E,15.59,25.03,14.94,11.31,7.23,THANI,Ratchathani Leasing PCL,Financial Services,Credit Services,21708.282,6.82,5.75,THB
7863,P/BV,2.66,4.92,3.34,3.05,1.85,THANI,Ratchathani Leasing PCL,Financial Services,Credit Services,21708.282,6.82,5.75,THB
7864,Book Value per share (Baht),1.98,2.20,2.23,1.90,2.03,THANI,Ratchathani Leasing PCL,Financial Services,Credit Services,21708.282,6.82,5.75,THB
7865,Dvd. Yield(%),3.43,1.94,0.32,4.00,8.51,THANI,Ratchathani Leasing PCL,Financial Services,Credit Services,21708.282,6.82,5.75,THB
7866,Assets,990.23,1355.37,1485.09,1011.58,,RWI,Rayong Wire Industries PLC,Basic Materials,Steel,948.184,-,1.49,THB
7867,Liabilities,50.70,326.27,419.49,229.52,,RWI,Rayong Wire Industries PLC,Basic Materials,Steel,948.184,-,1.49,THB
7868,Equity,939.53,1029.10,1065.60,782.06,,RWI,Rayong Wire Industries PLC,Basic Materials,Steel,948.184,-,1.49,THB
7869,Paid-up Capital,300.10,303.02,318.18,318.18,,RWI,Rayong Wire Industries PLC,Basic Materials,Steel,948.184,-,1.49,THB
7870,Revenue,608.80,944.89,1106.63,683.97,,RWI,Rayong Wire Industries PLC,Basic Materials,Steel,948.184,-,1.49,THB
7871,Net Profit,14.61,80.86,52.87,-282.08,,RWI,Rayong Wire Industries PLC,Basic Materials,Steel,948.184,-,1.49,THB
7872,EPS (Baht),0.02,0.13,0.08,-0.44,,RWI,Rayong Wire Industries PLC,Basic Materials,Steel,948.184,-,1.49,THB
7873,ROA(%),1.40,8.29,5.02,-23.16,,RWI,Rayong Wire Industries PLC,Basic Materials,Steel,948.184,-,1.49,THB
7874,ROE(%),1.57,8.21,5.05,-30.53,,RWI,Rayong Wire Industries PLC,Basic Materials,Steel,948.184,-,1.49,THB
7875,Net Profit Margin(%),2.40,8.56,4.78,-41.24,,RWI,Rayong Wire Industries PLC,Basic Materials,Steel,948.184,-,1.49,THB
7876,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,RWI,Rayong Wire Industries PLC,Basic Materials,Steel,948.184,-,1.49,THB
